Section;MSIC Code;Description;ISIC CODE
A;01111;Growing of maize;0111
A;01113;Growing of oil seeds;0111
A;01119;Growing of other cereals n.e.c.;0111
A;01120;Growing of paddy;0112
A;01131;Growing of leafy or stem vegetables;0113
A;01132;Growing of fruits bearing vegetables;0113
A;01133;Growing of melons;0113
A;01134;Growing of mushrooms and truffles;0113
A;01135;Growing of vegetables seeds, except beet seeds;0113
A;01136;Growing of other vegetables;0113
A;01137;Growing of sugar beet;0113
A;01138;Growing of roots, tubers, bulb or tuberous vegetables;0113
A;01140;Growing of sugar cane;0114
A;01150;Growing of tobacco;0115
A;01160;Growing of fibre crops;0116
A;01191;Growing of flowers;0119
A;01192;Growing of flower seeds;0119
A;01193;Growing of sago (rumbia);0119
A;01199;Growing of other non-perennial crops n.e.c.;0119
A;01210;Growing of grapes;0121
A;01221;Growing of banana;0122
A;01222;Growing of mango;0122
A;01223;Growing of durian;0122
A;01224;Growing of rambutan;0122
A;01225;Growing of star fruit;0122
A;01226;Growing of papaya;0122
A;01227;Growing of pineapple;0122
A;01228;Growing of pitaya (dragon fruit);0122
A;01229;Growing of other tropical and subtropical fruits n.e.c.;0122
A;01231;Growing of pomelo;0123
A;01232;Growing of lemon and limes;0123
A;01233;Growing of tangerines and mandarin;0123
A;01239;Growing of other citrus fruits n.e.c.;0123
A;01241;Growing of guava;0124
A;01249;Growing of other pome fruits and stones fruits n.e.c.;0124
A;01251;Growing of berries;0125
A;01252;Growing of fruit seeds;0125
A;01253;Growing of edible nuts;0125
A;01259;Growing of other tree and bush fruits;0125
A;01261;Growing of oil palm (estate);0126
A;01262;Growing of oil palm (smallholdings);0126
A;01263;Growing of coconut (estate and smallholdings);0126
A;01269;Growing of other oleaginous fruits n.e.c.;0126
A;01271;Growing of coffee;0127
A;01272;Growing of tea;0127
A;01273;Growing of cocoa;0127
A;01279;Growing of other beverage crops n.e.c.;0127
A;01281;Growing of pepper (piper nigrum);0128
A;01282;Growing of chilies and pepper (capsicum spp.);0128
A;01283;Growing of nutmeg;0128
A;01284;Growing of ginger;0128
A;01285;Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes;0128
A;01289;Growing of other spices and aromatic crops n.e.c.;0128
A;01291;Growing of rubber trees (estate);0129
A;01292;Growing of rubber trees (smallholdings);0129
A;01293;Growing of trees for extraction of sap;0129
A;01294;Growing of nipa palm;0129
A;01295;Growing of areca;0129
A;01296;Growing of roselle;0129
A;01299;Growing of other perennial crops n.e.c.;0129
A;01301;Growing of plants for planting;0130
A;01302;Growing of plants for ornamental purposes;0130
A;01303;Growing of live plants for bulbs, tubers and roots cuttings and slips mushroom spawn;0130
A;01304;Operation of tree nurseries;0130
A;01411;Raising, breeding and production of cattle or buffaloes;0141
